X,Y,OBJECTID,Site_Name,Site_Score,Site_EPA_ID,SEMS_ID,SITS_ID,Region_ID,State,City,County,Status,Longitude,Latitude,Proposed_Date,Listing_Date,Construction_Completion_Date,Construction_Completion_Number,NOID_Date,Deletion_Date,Site_Listing_Narrative,Site_Progress_Profile,Notice_of_Data_Availability,Proposed_FR_Notice,Deletion_FR_Notice,Final_FR_Notice,NOID_FR_Notice,Restoration_FR_Notice_Jumper_Pa,Site_has_had_a_Partial_Deletion,CreationDate,Creator,EditDate,Editor,ObjectId2
-83.47195,33.940281,,"Luminous Processes, Inc.",0,GAD990855819,401841,443,4,Georgia,Athens,Clarke,Deleted NPL Site,-83.47195,33.940281,10/23/1981,,12/30/1982,2,,12/30/1982,"<a href=""https://semspub.epa.gov/src/document/04/11121462"" target=""_blank"">GAD990855819 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401841"" target=""_blank"">Luminous Processes, Inc.</a>",,,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>",,,,No,,,,,826
-85.377781,34.797781,,Mathis Brothers Landfill (South Marble Top Road),30.78,GAD980838619,401732,444,4,Georgia,Kensington,Walker,NPL Site,-85.377781,34.797781,01/22/1987,03/31/1989,09/28/1998,563,,,"<a href=""https://semspub.epa.gov/src/document/04/11121463"" target=""_blank"">GAD980838619 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401732"" target=""_blank"">Mathis Brothers Landfill (South Marble Top Road)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,No,,,,,827
-85.2717,34.0207,,Diamond Shamrock Corp. Landfill,35.6,GAD990741092,401838,445,4,Georgia,Cedartown,Polk,NPL Site,-85.2717,34.0207,01/22/1987,08/30/1990,09/29/1995,333,,,"<a href=""https://semspub.epa.gov/src/document/04/11121464"" target=""_blank"">GAD990741092 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401838"" target=""_blank"">Diamond Shamrock Corp. Landfill</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,No,,,,,828
-85.282639,34.015969,,Cedartown Municipal Landfill,33.62,GAD980495402,401660,446,4,Georgia,Cedartown,Polk,Deleted NPL Site,-85.282639,34.015969,06/24/1988,03/31/1989,08/16/1996,366,11/23/1998,03/10/1999,"<a href=""https://semspub.epa.gov/src/document/04/11121465"" target=""_blank"">GAD980495402 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401660"" target=""_blank"">Cedartown Municipal Landfill</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-03-10/pdf/99-5829.pdf"" target=""_blank"">03/10/1999 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-11-23/pdf/98-30964.pdf"" target=""_blank"">11/23/1998 (PDF)</a>",,No,,,,,829
-85.2636,34.0082,,"Cedartown Industries, Inc.",42,GAD095840674,401627,1038,4,Georgia,Cedartown,Polk,Deleted NPL Site,-85.2636,34.0082,06/24/1988,02/21/1990,05/08/1997,432,05/26/2006,09/19/2006,"<a href=""https://semspub.epa.gov/src/document/04/11121292"" target=""_blank"">GAD095840674 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401627"" target=""_blank"">Cedartown Industries, Inc.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2006-09-19/pdf/E6-15535.pdf"" target=""_blank"">09/19/2006 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2006-05-26/pdf/E6-7928.pdf"" target=""_blank"">05/26/2006 (PDF)</a>",,No,,,,,830
-84.181661,31.617361,,T.H. Agriculture & Nutrition Co. (Albany Plant),40.93,GAD042101261,401428,1081,4,Georgia,Albany,Dougherty,NPL Site,-84.181661,31.617361,06/24/1988,03/31/1989,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121302"" target=""_blank"">GAD042101261 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401428"" target=""_blank"">T.H. Agriculture & Nutrition Co. (Albany Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,No,,,,,831
-83.5017,31.4289,,Marzone Inc./Chevron Chemical Co.,30.26,GAD991275686,401854,1148,4,Georgia,Tifton,Tift,NPL Site,-83.5017,31.4289,06/24/1988,10/04/1989,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121315"" target=""_blank"">GAD991275686 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401854"" target=""_blank"">Marzone Inc./Chevron Chemical Co.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,,832
-84.053889,31.565831,,Firestone Tire & Rubber Co. (Albany Plant),30.08,GAD990855074,401840,1154,4,Georgia,Albany,Dougherty,NPL Site,-84.053889,31.565831,06/24/1988,10/04/1989,09/28/1998,567,,,"<a href=""https://semspub.epa.gov/src/document/04/11121316"" target=""_blank"">GAD990855074 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401840"" target=""_blank"">Firestone Tire & Rubber Co. (Albany Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,No,,,,,833
-84.055,31.557219,,Marine Corps Logistics Base,44.65,GA7170023694,401879,1252,4,Georgia,Albany,Dougherty,NPL Site,-84.055,31.557219,07/14/1989,11/21/1989,09/28/2011,1114,,,"<a href=""https://semspub.epa.gov/src/document/04/11121337"" target=""_blank"">GA7170023694 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401879"" target=""_blank"">Marine Corps Logistics Base</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189634"" target=""_blank"">11/21/1989 (PDF)</a>",,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",,,,,834
-81.508333,31.189444,,LCP Chemicals Georgia,0,GAD099303182,401634,1458,4,Georgia,Brunswick,Glynn,NPL Site,-81.508333,31.189444,10/02/1995,06/17/1996,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121366"" target=""_blank"">GAD099303182 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401634"" target=""_blank"">LCP Chemicals Georgia</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-10-02/pdf/95-24414.pdf"" target=""_blank"">10/02/1995 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-06-17/pdf/96-15032.pdf"" target=""_blank"">06/17/1996 (PDF)</a>",,,No,,,,,835
